ENDERECO_L;COD_MUNIC_;NUM_ZONA;NUM_SECAO;COD_LOCALV;NM_BAIRRO;NR_LOCAL_V;NM_LOCALVO;COD_MUNI_1;NM_MUNIC_I;NUM_CEP;lon;lat;CD_GEOCODB;NM_BAIRR_1
RUA BOLIVAR,  10;41238;27;56;13572;UNIAO;1120;ESCOLA MUNICIPAL ANISIO TEIXEIRA;3106200;BELO HORIZONTE;31170670;-43,925975;-19,8832497;3,1062E+11;Uniao
RUA BOLIVAR,  10;41238;27;61;13572;UNIAO;1120;ESCOLA MUNICIPAL ANISIO TEIXEIRA;3106200;BELO HORIZONTE;31170670;-43,925975;-19,8832497;3,1062E+11;Uniao
RUA BOLIVAR,  10;41238;27;370;13572;UNIAO;1120;ESCOLA MUNICIPAL ANISIO TEIXEIRA;3106200;BELO HORIZONTE;31170670;-43,925975;-19,8832497;3,1062E+11;Uniao
RUA BOLIVAR,  10;41238;27;438;13572;UNIAO;1120;ESCOLA MUNICIPAL ANISIO TEIXEIRA;3106200;BELO HORIZONTE;31170670;-43,925975;-19,8832497;3,1062E+11;Uniao
RUA BOLIVAR,  10;41238;27;60;13572;UNIAO;1120;ESCOLA MUNICIPAL ANISIO TEIXEIRA;3106200;BELO HORIZONTE;31170670;-43,925975;-19,8832497;3,1062E+11;Uniao
RUA BOLIVAR,  10;41238;27;378;13572;UNIAO;1120;ESCOLA MUNICIPAL ANISIO TEIXEIRA;3106200;BELO HORIZONTE;31170670;-43,925975;-19,8832497;3,1062E+11;Uniao
RUA BOLIVAR,  10;41238;27;52;13572;UNIAO;1120;ESCOLA MUNICIPAL ANISIO TEIXEIRA;3106200;BELO HORIZONTE;31170670;-43,925975;-19,8832497;3,1062E+11;Uniao
RUA BOLIVAR,  10;41238;27;59;13572;UNIAO;1120;ESCOLA MUNICIPAL ANISIO TEIXEIRA;3106200;BELO HORIZONTE;31170670;-43,925975;-19,8832497;3,1062E+11;Uniao
RUA BOLIVAR,  10;41238;27;356;13572;UNIAO;1120;ESCOLA MUNICIPAL ANISIO TEIXEIRA;3106200;BELO HORIZONTE;31170670;-43,925975;-19,8832497;3,1062E+11;Uniao
RUA BOLIVAR,  10;41238;27;359;13572;UNIAO;1120;ESCOLA MUNICIPAL ANISIO TEIXEIRA;3106200;BELO HORIZONTE;31170670;-43,925975;-19,8832497;3,1062E+11;Uniao
RUA BOLIVAR,  10;41238;27;191;13572;UNIAO;1120;ESCOLA MUNICIPAL ANISIO TEIXEIRA;3106200;BELO HORIZONTE;31170670;-43,925975;-19,8832497;3,1062E+11;Uniao
RUA BOLIVAR,  10;41238;27;200;13572;UNIAO;1120;ESCOLA MUNICIPAL ANISIO TEIXEIRA;3106200;BELO HORIZONTE;31170670;-43,925975;-19,8832497;3,1062E+11;Uniao
RUA BOLIVAR,  10;41238;27;404;13572;UNIAO;1120;ESCOLA MUNICIPAL ANISIO TEIXEIRA;3106200;BELO HORIZONTE;31170670;-43,925975;-19,8832497;3,1062E+11;Uniao
RUA BOLIVAR,  10;41238;27;396;13572;UNIAO;1120;ESCOLA MUNICIPAL ANISIO TEIXEIRA;3106200;BELO HORIZONTE;31170670;-43,925975;-19,8832497;3,1062E+11;Uniao
RUA BOLIVIA, 532;41238;34;272;13344;SAO PEDRO;1520;ESCOLA MUNICIPAL ULISSES GUIMARAES;3106200;BELO HORIZONTE;30000000;-43,9398413;-19,9511233;3,1062E+11;Santa Rita de Cassia
RUA BOLIVIA, 532;41238;34;320;13344;SAO PEDRO;1520;ESCOLA MUNICIPAL ULISSES GUIMARAES;3106200;BELO HORIZONTE;30000000;-43,9398413;-19,9511233;3,1062E+11;Santa Rita de Cassia
RUA BOLIVIA, 532;41238;34;262;13344;SAO PEDRO;1520;ESCOLA MUNICIPAL ULISSES GUIMARAES;3106200;BELO HORIZONTE;30000000;-43,9398413;-19,9511233;3,1062E+11;Santa Rita de Cassia
RUA BOLIVIA, 532;41238;34;250;13344;SAO PEDRO;1520;ESCOLA MUNICIPAL ULISSES GUIMARAES;3106200;BELO HORIZONTE;30000000;-43,9398413;-19,9511233;3,1062E+11;Santa Rita de Cassia
RUA BOLIVIA, 532;41238;34;280;13344;SAO PEDRO;1520;ESCOLA MUNICIPAL ULISSES GUIMARAES;3106200;BELO HORIZONTE;30000000;-43,9398413;-19,9511233;3,1062E+11;Santa Rita de Cassia
RUA BOM SUCESSO, 345;41238;30;51;13469;CARLOS PRATES;1163;ESCOLA ESTADUAL MELO VIANA;3106200;BELO HORIZONTE;30710440;-43,9646877;-19,9127412;3,1062E+11;Carlos Prates
RUA BOM SUCESSO, 345;41238;30;54;13469;CARLOS PRATES;1163;ESCOLA ESTADUAL MELO VIANA;3106200;BELO HORIZONTE;30710440;-43,9646877;-19,9127412;3,1062E+11;Carlos Prates
RUA BOM SUCESSO, 345;41238;30;29;13469;CARLOS PRATES;1163;ESCOLA ESTADUAL MELO VIANA;3106200;BELO HORIZONTE;30710440;-43,9646877;-19,9127412;3,1062E+11;Carlos Prates
RUA BOM SUCESSO, 345;41238;30;53;13469;CARLOS PRATES;1163;ESCOLA ESTADUAL MELO VIANA;3106200;BELO HORIZONTE;30710440;-43,9646877;-19,9127412;3,1062E+11;Carlos Prates
RUA BOM SUCESSO, 345;41238;30;52;13469;CARLOS PRATES;1163;ESCOLA ESTADUAL MELO VIANA;3106200;BELO HORIZONTE;30710440;-43,9646877;-19,9127412;3,1062E+11;Carlos Prates
RUA BONINAS  ,  517;41238;28;97;13521;ESPLANADA;1686;E. E. GERALDINA SOARES;3106200;BELO HORIZONTE;30280220;-43,9053745;-19,9058086;3,1062E+11;Esplanada
RUA BONINAS  ,  517;41238;28;98;13521;ESPLANADA;1686;E. E. GERALDINA SOARES;3106200;BELO HORIZONTE;30280220;-43,9053745;-19,9058086;3,1062E+11;Esplanada
RUA BONINAS  ,  517;41238;28;95;13521;ESPLANADA;1686;E. E. GERALDINA SOARES;3106200;BELO HORIZONTE;30280220;-43,9053745;-19,9058086;3,1062E+11;Esplanada
RUA BONINAS  ,  517;41238;28;96;13521;ESPLANADA;1686;E. E. GERALDINA SOARES;3106200;BELO HORIZONTE;30280220;-43,9053745;-19,9058086;3,1062E+11;Esplanada
RUA BONINAS  ,  517;41238;28;101;13521;ESPLANADA;1686;E. E. GERALDINA SOARES;3106200;BELO HORIZONTE;30280220;-43,9053745;-19,9058086;3,1062E+11;Esplanada
RUA BONINAS  ,  517;41238;28;102;13521;ESPLANADA;1686;E. E. GERALDINA SOARES;3106200;BELO HORIZONTE;30280220;-43,9053745;-19,9058086;3,1062E+11;Esplanada
RUA BONINAS  ,  517;41238;28;99;13521;ESPLANADA;1686;E. E. GERALDINA SOARES;3106200;BELO HORIZONTE;30280220;-43,9053745;-19,9058086;3,1062E+11;Esplanada
RUA BONINAS  ,  517;41238;28;100;13521;ESPLANADA;1686;E. E. GERALDINA SOARES;3106200;BELO HORIZONTE;30280220;-43,9053745;-19,9058086;3,1062E+11;Esplanada
RUA BONINAS  ,  517;41238;28;162;13521;ESPLANADA;1686;E. E. GERALDINA SOARES;3106200;BELO HORIZONTE;30280220;-43,9053745;-19,9058086;3,1062E+11;Esplanada
RUA BUENO BRANDAO    ,151;41238;26;150;13562;FLORESTA;1287;COLEGIO SAO JOSE;3106200;BELO HORIZONTE;31010060;-43,9263339;-19,9154061;3,1062E+11;Floresta
RUA BUENO BRANDAO    ,151;41238;26;154;13562;FLORESTA;1287;COLEGIO SAO JOSE;3106200;BELO HORIZONTE;31010060;-43,9263339;-19,9154061;3,1062E+11;Floresta
RUA BUENO BRANDAO    ,151;41238;26;151;13562;FLORESTA;1287;COLEGIO SAO JOSE;3106200;BELO HORIZONTE;31010060;-43,9263339;-19,9154061;3,1062E+11;Floresta
RUA BUENO BRANDAO    ,151;41238;26;152;13562;FLORESTA;1287;COLEGIO SAO JOSE;3106200;BELO HORIZONTE;31010060;-43,9263339;-19,9154061;3,1062E+11;Floresta
